Date,Open,High,Low,Close,Adj Close,Volume
2016-02-11,22360.000000,22740.000000,22360.000000,22600.000000,19651.087891,15263100
2016-02-12,22600.000000,23020.000000,22440.000000,22600.000000,19651.087891,12811600
2016-02-15,23080.000000,23200.000000,22880.000000,23080.000000,20068.455078,9157300
2016-02-16,23160.000000,23580.000000,23140.000000,23360.000000,20311.923828,9020050
2016-02-17,23580.000000,24020.000000,23380.000000,23700.000000,20607.554688,12303100
2016-02-18,24060.000000,24060.000000,23560.000000,23740.000000,20642.341797,11124050
2016-02-19,23740.000000,23900.000000,23480.000000,23800.000000,20694.513672,8842600
2016-02-22,23800.000000,23840.000000,23320.000000,23500.000000,20433.654297,8744950
2016-02-23,23580.000000,23780.000000,23460.000000,23620.000000,20537.998047,7383700
2016-02-24,23560.000000,23580.000000,23220.000000,23440.000000,20381.486328,7024200
2016-02-25,23440.000000,23740.000000,23440.000000,23580.000000,20503.216797,6681750
2016-02-26,23600.000000,23740.000000,23440.000000,23440.000000,20381.486328,8867200
2016-02-29,23580.000000,23880.000000,23520.000000,23560.000000,20485.824219,14434000
2016-03-02,24000.000000,24140.000000,23920.000000,23940.000000,20816.244141,11818600
2016-03-03,24260.000000,24400.000000,24040.000000,24400.000000,21216.220703,10949550
2016-03-04,24400.000000,24560.000000,24040.000000,24300.000000,21129.269531,10074500
2016-03-07,24400.000000,24620.000000,24300.000000,24460.000000,21268.396484,6568800
2016-03-08,24460.000000,24480.000000,23720.000000,23840.000000,20729.291016,10810100
2016-03-09,23760.000000,23980.000000,23540.000000,23880.000000,20764.072266,9169000
2016-03-10,24160.000000,24720.000000,24020.000000,24500.000000,21303.173828,14177000
2016-03-11,24500.000000,25060.000000,24320.000000,24980.000000,21720.541016,13361250
2016-03-14,25340.000000,25460.000000,24980.000000,25100.000000,21824.882813,10857700
2016-03-15,25100.000000,25280.000000,24920.000000,25060.000000,21790.103516,8640400
2016-03-16,25120.000000,25260.000000,25060.000000,25120.000000,21842.273438,7342800
2016-03-17,25300.000000,25920.000000,25140.000000,25260.000000,21964.005859,12343450
2016-03-18,25560.000000,25560.000000,25260.000000,25460.000000,22137.906250,11265700
2016-03-21,25480.000000,25580.000000,25160.000000,25340.000000,22033.566406,9058500
2016-03-22,25340.000000,25580.000000,25240.000000,25380.000000,22068.347656,10143600
2016-03-23,25380.000000,25580.000000,25240.000000,25580.000000,22242.257813,9870900
2016-03-24,25580.000000,25800.000000,25320.000000,25640.000000,22294.419922,10939750
2016-03-25,25660.000000,25800.000000,25560.000000,25760.000000,22398.767578,7172300
2016-03-28,25760.000000,26000.000000,25760.000000,25880.000000,22503.105469,6060900
2016-03-29,25880.000000,26000.000000,25700.000000,25800.000000,22433.542969,8622700
2016-03-30,26200.000000,26420.000000,26040.000000,26160.000000,22746.570313,13380250
2016-03-31,26120.000000,26280.000000,25960.000000,26240.000000,22816.136719,19130750
2016-04-01,25980.000000,26180.000000,25420.000000,25580.000000,22242.257813,13557800
2016-04-04,25580.000000,26100.000000,25580.000000,26100.000000,22694.398438,9402300
2016-04-05,25980.000000,25980.000000,25200.000000,25200.000000,21911.837891,11815950
2016-04-06,25380.000000,25820.000000,25360.000000,25700.000000,22346.593750,9211700
2016-04-07,26000.000000,26000.000000,25160.000000,25380.000000,22068.347656,12939750
2016-04-08,25380.000000,25380.000000,24800.000000,24920.000000,21668.371094,12593400
2016-04-11,24920.000000,25420.000000,24920.000000,25320.000000,22016.177734,6034650
2016-04-12,25400.000000,25620.000000,25320.000000,25500.000000,22172.691406,6702700
2016-04-14,26000.000000,26040.000000,25780.000000,26000.000000,22607.447266,16766350
2016-04-15,26180.000000,26200.000000,25800.000000,26000.000000,22607.447266,6829950
2016-04-18,25900.000000,26100.000000,25840.000000,25980.000000,22590.060547,6423700
2016-04-19,25880.000000,25920.000000,25660.000000,25760.000000,22398.767578,7238300
2016-04-20,25640.000000,26000.000000,25640.000000,25980.000000,22590.060547,8598600
2016-04-21,26000.000000,26020.000000,25760.000000,25880.000000,22503.105469,7254450
2016-04-22,25880.000000,25880.000000,25540.000000,25600.000000,22259.642578,5741500
2016-04-25,25700.000000,25700.000000,25420.000000,25620.000000,22277.031250,4597850
2016-04-26,25700.000000,26100.000000,25660.000000,25920.000000,22537.888672,8345050
2016-04-27,25880.000000,26000.000000,25720.000000,26000.000000,22607.447266,8297300
2016-04-28,26000.000000,26000.000000,25220.000000,25300.000000,21998.787109,14653450
2016-04-29,25200.000000,25340.000000,24840.000000,24900.000000,21650.980469,16253900
2016-05-02,24940.000000,25240.000000,24900.000000,25000.000000,21737.931641,7027600
2016-05-03,25340.000000,25400.000000,25120.000000,25220.000000,21929.228516,7903300
2016-05-04,25440.000000,25800.000000,25240.000000,25800.000000,22433.542969,14702750
2016-05-09,25800.000000,26000.000000,25700.000000,25980.000000,22590.060547,13718100
2016-05-10,25980.000000,26000.000000,25760.000000,25920.000000,22537.888672,8559550
2016-05-11,25920.000000,25980.000000,25740.000000,25840.000000,22468.330078,8834400
