Date,Open,High,Low,Close,Adj Close,Volume
2016-09-02,81500,82000,80900,81000,80744.77344,270384
2016-09-05,81200,82200,80900,81000,80744.77344,263587
2016-09-06,81400,82100,80900,81200,80944.14063,219973
2016-09-07,80600,80700,79600,80000,79747.92969,269047
2016-09-08,80100,81800,80100,81800,81542.25,296809
2016-09-09,80900,81400,80400,80600,80346.03906,258472
2016-09-12,80000,80400,79300,79900,79648.24219,175099
2016-09-13,80000,80600,79900,80500,80246.35156,167806
2016-09-19,80100,80600,79900,80500,80246.35156,153998
2016-09-20,80700,83500,80600,82200,81940.99219,493052
2016-09-21,82000,82500,81200,82300,82040.67969,196029
2016-09-22,83000,84700,82400,84500,84233.74219,371860
2016-09-23,84200,84500,83300,83600,83336.58594,265218
2016-09-26,83200,83300,82300,82600,82339.73438,176917
2016-09-27,82400,84100,81900,83600,83336.58594,163326
2016-09-28,83400,83600,82400,82800,82539.10156,166639
2016-09-29,82700,82900,82000,82700,82439.42188,236280
2016-09-30,83300,84200,81700,81800,81542.25,380670
2016-10-04,81700,82700,81200,81200,80944.14063,351455
2016-10-05,82000,85500,81800,85500,85230.59375,728681
2016-10-06,85200,86300,84100,85300,85031.22656,388287
2016-10-07,85100,85400,83300,83400,83137.21094,242697
2016-10-10,83200,83700,82500,82600,82339.73438,144551
2016-10-11,82700,82900,81500,81500,81243.19531,257663
2016-10-12,81500,81500,79000,80200,79947.29688,534287
2016-10-13,80400,80500,79300,79300,79050.13281,203778
2016-10-14,79300,79800,79000,79300,79050.13281,148730
2016-10-17,79500,81000,79500,80500,80246.35156,160442
2016-10-18,80300,80800,79700,80800,80545.40625,169592
2016-10-19,81000,82200,80400,81700,81442.57031,246435
2016-10-20,82100,82900,81000,81000,80744.77344,278568
2016-10-21,81600,81700,80400,80600,80346.03906,192255
2016-10-24,81700,81700,80500,80700,80445.71875,150118
2016-10-25,80300,82700,80300,82300,82040.67969,305185
2016-10-26,82400,82500,80400,80900,80645.08594,189596
2016-10-27,80900,81800,80800,81300,81043.82813,123235
2016-10-28,80900,81100,79600,79600,79349.1875,299652
2016-10-31,79600,79900,76400,76400,76159.26563,498234
2016-11-01,75600,76600,74000,74600,74364.94531,388432
2016-11-02,74000,74500,71300,71300,71075.33594,640159
2016-11-03,70400,72600,70300,71400,71175.02344,383722
2016-11-04,71200,74000,71200,73200,72969.35156,280780
2016-11-07,73200,74200,73100,73700,73467.77344,155971
2016-11-08,74300,74500,73800,74300,74065.88281,143280
2016-11-09,74300,74600,69900,71300,71075.33594,529993
2016-11-10,75300,79900,75200,79700,79448.86719,1182920
2016-11-11,79800,79800,76900,77800,77554.85938,433329
2016-11-14,77800,78200,75800,75800,75561.15625,261019
2016-11-15,75600,77100,75300,76000,75760.52344,186400
2016-11-16,76500,80500,76500,80300,80046.98438,566246
2016-11-17,80600,81100,79500,81000,80744.77344,239572
2016-11-18,80600,81800,80000,80700,80445.71875,281422
2016-11-21,80400,80500,78300,79000,78751.07813,186638
2016-11-22,79000,82000,79000,81800,81542.25,345344
2016-11-23,81800,82400,80600,81900,81641.9375,273571
2016-11-24,81700,82000,80400,80700,80445.71875,173751
2016-11-25,80700,81600,80300,81300,81043.82813,169643
2016-11-28,81400,81400,79100,79400,79149.8125,213000
2016-11-29,79600,81100,79100,79800,79548.55469,193718
2016-11-30,79500,79900,77700,77700,77455.17188,255953
2016-12-01,77300,78700,76700,76700,76458.32031,188500
2016-12-02,76700,77200,75200,75300,75062.73438,189997
2016-12-05,74700,76800,74300,74700,74464.625,192995
2016-12-06,75500,76200,74700,75100,74863.36719,133357
2016-12-07,74800,75600,74800,75100,74863.36719,115644
2016-12-08,75900,77200,75400,76300,76059.58594,200443
2016-12-09,76300,79400,76000,79400,79149.8125,300441
2016-12-12,80000,80600,78700,79600,79349.1875,314933
2016-12-13,79600,79800,78400,79200,78950.44531,191517
2016-12-14,79900,81000,78700,78700,78452.01563,281848
2016-12-15,78700,79300,77300,78100,77853.90625,179990
2016-12-16,78300,78400,77400,77500,77255.80469,141183
2016-12-19,77700,79300,77700,78200,77953.59375,151456
2016-12-20,78300,79100,76900,76900,76657.69531,175499
2016-12-21,77400,77400,76100,76100,75860.21094,207737
2016-12-22,76500,76900,74800,74800,74564.3125,276108
2016-12-23,75500,75900,74500,75000,74763.67969,267841
2016-12-26,75000,75800,75000,75100,74863.36719,132251
2016-12-27,75500,75600,74600,74800,74564.3125,236974
2016-12-28,75000,75900,74700,75500,75411.3125,201595
2016-12-29,75700,77000,75300,77000,76909.55469,201605
2017-01-02,77400,77600,76600,76700,76609.90625,143140
2017-01-03,77200,80000,77000,80000,79906.03125,445180
2017-01-04,80400,85100,80300,84300,84200.97656,1224395
2017-01-05,85000,86000,84000,84000,83901.32813,611713
2017-01-06,84400,84500,82200,83700,83601.67969,410880
2017-01-09,84200,84500,82500,82800,82702.74219,236036
2017-01-10,82600,83500,81500,82000,81903.67969,329302
2017-01-11,82000,83700,81600,83200,83102.27344,270488
2017-01-12,83500,83700,81900,81900,81803.79688,251638
2017-01-13,81900,84400,81600,83900,83801.44531,480932
2017-01-16,84400,84500,82400,82600,82502.97656,204539
2017-01-17,82600,83400,81400,81900,81803.79688,229108
2017-01-18,82200,82600,80300,81100,81004.73438,185724
2017-01-19,80700,82300,80500,82300,82203.32813,246388
2017-01-20,81800,82200,80300,80400,80305.5625,285281
2017-01-23,80000,80300,78400,79000,78907.20313,338781
2017-01-24,79500,79700,78800,78800,78707.4375,179068
2017-01-25,78300,79200,76100,76100,76010.60938,557017
2017-01-26,76200,77700,76200,77100,77009.4375,316390
2017-01-31,77200,79300,76900,77700,77608.73438,260779
2017-02-01,78200,78900,78000,78400,78307.90625,197510
2017-02-02,79100,80000,77600,77700,77608.73438,285670
2017-02-03,78000,78500,77500,78000,77908.38281,178240
2017-02-06,78100,78500,77000,77300,77209.20313,169147
2017-02-07,77000,79100,77000,78300,78208.02344,173244
2017-02-08,78800,79800,77800,79800,79706.26563,269292
2017-02-09,81700,85700,81300,85400,85299.6875,1550608
2017-02-10,85300,86300,84100,85100,85000.03906,792741
2017-02-13,85400,85500,83700,84100,84001.21094,397630
2017-02-14,84000,85300,83000,84900,84800.27344,427851
2017-02-15,85100,85600,84100,84900,84800.27344,321230
2017-02-16,84600,84800,82200,82400,82303.21094,569723
2017-02-17,82400,85300,82400,84700,84600.50781,563691
2017-02-20,84400,85300,83600,84800,84700.39063,294768
2017-02-21,85700,89100,85700,88400,88296.16406,1573781
2017-02-22,88600,90200,88200,89500,89394.86719,1034489
2017-02-23,89100,89500,87600,87900,87796.75,507957
2017-02-24,88500,89600,87600,88100,87996.51563,369669
2017-02-27,87500,87900,85700,85800,85699.21875,330736
2017-02-28,86500,86800,84900,85400,85299.6875,444304
2017-03-02,86000,86100,84500,85300,85199.80469,354383
2017-03-03,85000,86500,84400,85800,85699.21875,396672
2017-03-06,85000,85700,83600,83800,83701.5625,382382
2017-03-07,83600,84300,82600,83700,83601.67969,277748
2017-03-08,84200,84300,82700,83000,82902.50781,286714
2017-03-09,83500,84900,82800,82800,82702.74219,350630
2017-03-10,83500,85800,81600,85300,85199.80469,501305
2017-03-13,85400,85500,84000,84800,84700.39063,341028
2017-03-14,84600,84800,82600,83500,83401.92188,625453
2017-03-15,83600,83800,82000,82200,82103.44531,317640
2017-03-16,82900,83800,81500,83800,83701.5625,469582
2017-03-17,83800,84100,83200,84000,83901.32813,221183
2017-03-20,84700,85200,82500,84900,84800.27344,506090
2017-03-21,85000,86200,84300,86100,85998.86719,515560
2017-03-22,85500,86700,84700,86600,86498.27344,476268
2017-03-23,86700,86700,85400,85900,85799.10156,310710
2017-03-24,86200,86200,83100,84100,84001.21094,537901
2017-03-27,83400,84200,82800,82900,82802.625,319059
2017-03-28,83300,84000,82400,83200,83102.27344,346230
2017-03-29,84000,84100,82900,83800,83701.5625,245176
2017-03-30,84100,84100,82700,82800,82702.74219,230451
2017-03-31,83500,83700,82700,83100,83002.39063,179689
2017-04-03,83500,87000,83400,87000,86897.80469,862856
2017-04-04,87500,87600,85700,85700,85599.33594,1954434
2017-04-05,86800,88700,85600,85900,85799.10156,1526823
2017-04-06,84500,85000,83300,84500,84400.74219,3843443
2017-04-07,85300,87100,84900,86600,86498.27344,1424420
2017-04-10,87100,87100,84200,84900,84800.27344,819880
2017-04-11,84700,86200,84100,85700,85599.33594,750110
2017-04-12,85700,86200,85100,85900,85799.10156,465429
2017-04-13,85700,88500,85600,88000,87896.63281,1362238
2017-04-14,87800,90200,87500,88800,88695.69531,1146797
2017-04-17,90000,90300,88400,89100,88995.34375,747833
2017-04-18,89100,89800,88000,88200,88096.39844,539494
