Date,Open,High,Low,Close,Adj Close,Volume
2016-04-20,133200.000000,133600.000000,130200.000000,130800.000000,129591.664063,463915
2016-04-21,132000.000000,133400.000000,131200.000000,133400.000000,132167.656250,412070
2016-04-22,132000.000000,133000.000000,131400.000000,132600.000000,131375.031250,194870
2016-04-25,132400.000000,133000.000000,131000.000000,132400.000000,131176.875000,355620
2016-04-26,132600.000000,134400.000000,129800.000000,130800.000000,129591.664063,789600
2016-04-27,129600.000000,133000.000000,128000.000000,133000.000000,131771.343750,403340
2016-04-28,138200.000000,138200.000000,129200.000000,131800.000000,130582.414063,1141055
2016-04-29,133600.000000,136200.000000,133200.000000,135400.000000,134149.187500,908665
2016-05-02,135800.000000,136000.000000,133400.000000,135600.000000,134347.312500,288895
2016-05-03,136400.000000,136400.000000,135000.000000,135200.000000,133951.015625,343900
2016-05-04,135800.000000,136600.000000,134000.000000,136000.000000,134743.625000,697250
2016-05-09,139800.000000,141000.000000,137400.000000,140000.000000,138706.687500,925425
2016-05-10,141600.000000,142800.000000,139000.000000,141400.000000,140093.718750,532275
2016-05-11,140000.000000,140400.000000,138000.000000,138600.000000,137319.593750,441680
2016-05-12,139000.000000,139400.000000,135200.000000,135200.000000,133951.015625,338430
2016-05-13,135000.000000,137400.000000,133600.000000,135400.000000,134149.187500,462865
2016-05-16,134200.000000,139000.000000,134200.000000,138400.000000,137121.453125,322650
2016-05-17,138200.000000,138800.000000,137200.000000,138800.000000,137517.750000,341630
2016-05-18,138800.000000,139600.000000,136400.000000,139600.000000,138310.375000,875390
2016-05-19,137400.000000,140200.000000,137400.000000,140200.000000,138904.812500,251090
2016-05-20,141600.000000,142000.000000,136400.000000,137600.000000,136328.843750,382600
2016-05-23,138000.000000,138000.000000,134600.000000,138000.000000,136725.156250,288895
2016-05-24,138000.000000,140600.000000,137200.000000,138800.000000,137517.750000,276200
2016-05-25,140200.000000,141800.000000,139000.000000,140800.000000,139499.281250,463225
2016-05-26,140800.000000,141800.000000,139800.000000,140600.000000,139301.140625,226115
2016-05-27,141000.000000,141200.000000,139000.000000,140000.000000,138706.687500,225070
2016-05-30,141000.000000,142400.000000,140400.000000,142000.000000,140688.203125,414260
2016-05-31,142000.000000,144000.000000,141200.000000,144000.000000,142669.703125,579335
2016-06-01,140000.000000,140200.000000,133200.000000,137400.000000,136130.687500,1681135
2016-06-02,138800.000000,142600.000000,138200.000000,139400.000000,138112.203125,509065
2016-06-03,140400.000000,141600.000000,139000.000000,141400.000000,140093.718750,438765
2016-06-07,145600.000000,145800.000000,141000.000000,141400.000000,140093.718750,498305
2016-06-08,141800.000000,145000.000000,141600.000000,144400.000000,143066.031250,556190
2016-06-09,146200.000000,146600.000000,142400.000000,144000.000000,142669.703125,672840
2016-06-10,146200.000000,146600.000000,143400.000000,144000.000000,142669.703125,475005
2016-06-13,142800.000000,142800.000000,137200.000000,139400.000000,138112.203125,800590
2016-06-14,137800.000000,140400.000000,135800.000000,139400.000000,138112.203125,654895
2016-06-15,140800.000000,141800.000000,138400.000000,139400.000000,138112.203125,352325
2016-06-16,138200.000000,140200.000000,138200.000000,140200.000000,138904.812500,299220
2016-06-17,140200.000000,140400.000000,137600.000000,137800.000000,136526.984375,367800
2016-06-20,139400.000000,139400.000000,136800.000000,138400.000000,137121.453125,307550
2016-06-21,138800.000000,139600.000000,137600.000000,139400.000000,138112.203125,307700
2016-06-22,139800.000000,146000.000000,139800.000000,146000.000000,144651.250000,1005435
2016-06-23,146600.000000,152000.000000,146400.000000,149400.000000,148019.828125,1130610
2016-06-24,149000.000000,151800.000000,144200.000000,147800.000000,146434.625000,867905
2016-06-27,145600.000000,146000.000000,141200.000000,142000.000000,140688.203125,1174480
2016-06-28,140200.000000,143800.000000,140000.000000,143800.000000,142471.578125,770085
2016-06-29,143000.000000,144800.000000,142600.000000,142600.000000,141282.640625,741970
2016-06-30,142000.000000,143400.000000,141400.000000,142000.000000,140688.203125,767665
2016-07-01,142600.000000,144600.000000,142600.000000,142600.000000,141282.640625,382845
2016-07-04,143200.000000,145800.000000,142400.000000,145400.000000,144056.781250,589185
2016-07-05,146000.000000,151200.000000,146000.000000,150000.000000,148614.281250,635330
2016-07-06,150000.000000,150000.000000,146000.000000,149000.000000,147623.546875,612230
2016-07-07,150400.000000,154000.000000,149600.000000,150600.000000,149208.750000,342580
2016-07-08,150200.000000,151200.000000,149600.000000,150000.000000,148614.281250,368765
2016-07-11,149000.000000,151600.000000,148600.000000,150800.000000,149406.890625,541025
2016-07-12,151800.000000,153600.000000,149600.000000,151000.000000,149605.046875,635055
2016-07-13,152000.000000,153600.000000,149600.000000,151600.000000,150199.500000,775750
2016-07-14,150200.000000,150800.000000,146800.000000,146800.000000,145443.843750,827050
2016-07-15,150000.000000,150600.000000,141200.000000,143200.000000,141877.125000,1530420
2016-07-18,143400.000000,143600.000000,141200.000000,142400.000000,141084.515625,754640
2016-07-19,143600.000000,144200.000000,141400.000000,143600.000000,142273.437500,553990
2016-07-20,143000.000000,143400.000000,138200.000000,139000.000000,137715.906250,1009250
2016-07-21,139600.000000,141200.000000,139400.000000,140800.000000,139499.281250,541555
2016-07-22,141200.000000,142400.000000,140800.000000,141000.000000,139697.437500,451650
2016-07-25,141600.000000,142800.000000,141600.000000,142000.000000,140688.203125,257085
2016-07-26,142200.000000,142800.000000,140400.000000,142000.000000,140688.203125,289335
2016-07-27,142000.000000,143600.000000,142000.000000,142400.000000,141084.515625,293035
2016-07-28,143400.000000,143800.000000,141400.000000,142000.000000,140688.203125,491070
2016-07-29,142000.000000,143400.000000,141600.000000,142000.000000,140688.203125,531755
2016-08-01,142200.000000,142600.000000,135600.000000,140200.000000,138904.812500,729430
2016-08-02,140200.000000,143000.000000,139800.000000,142600.000000,141282.640625,244690
2016-08-03,142000.000000,142600.000000,140400.000000,141000.000000,139697.437500,248405
2016-08-04,142600.000000,142800.000000,140200.000000,141400.000000,140093.718750,256240
2016-08-05,142200.000000,145000.000000,141000.000000,144600.000000,143264.171875,275795
2016-08-08,145600.000000,149800.000000,145400.000000,149800.000000,148416.140625,584725
2016-08-09,150800.000000,151400.000000,150000.000000,151000.000000,149605.046875,844050
